image_id,group_id,is_intruder
fif-907-qeimw,coh-642-hkwgk,0
fif-381-fnot3,coh-762-v5grx,0
fif-999-9kny7,coh-448-ne6vq,0
fif-704-ele8d,coh-921-rw9nn,0
fif-773-10iso,coh-716-jmq0c,0
fif-954-xyc1i,coh-383-4ykk6,1
fif-741-t838o,coh-376-i8rnw,0
fif-738-ghkrq,coh-448-ne6vq,0
fif-147-hauii,coh-607-c3rjp,0
fif-977-w2a44,coh-161-zu9vx,1
fif-993-qa51b,coh-543-xsgbm,0
fif-902-l25fu,coh-691-1b83j,0
fif-555-w05mc,coh-659-s9zzd,0
fif-950-icw5q,coh-442-767qd,0
fif-341-n2iai,coh-605-ikk09,0
fif-185-a0c84,coh-387-atf8w,0
fif-601-c29zp,coh-685-qguj8,0
fif-705-hug7b,coh-745-bwyph,1
fif-367-rxr6q,coh-828-e3gsc,0
fif-130-q4bio,coh-921-rw9nn,0
fif-245-9gggh,coh-419-o3p1n,0
fif-827-92iu3,coh-967-dqgep,0
fif-895-vbhnj,coh-297-0moo0,0
fif-327-2quxn,coh-948-2vlaf,0
fif-670-cu99u,coh-921-rw9nn,0
fif-317-99ald,coh-795-i4jqe,0
fif-864-l932b,coh-795-i4jqe,0
fif-667-u5qei,coh-716-jmq0c,0
fif-247-l1smg,coh-925-1jy62,0
fif-597-hx2ev,coh-103-fp6y4,0
fif-154-2ent9,coh-775-etpku,0
fif-396-3ua2y,coh-400-xqe2f,0
fif-604-7dfkz,coh-314-cyvwz,0
fif-193-wph07,coh-163-cpov7,0
fif-756-o2dxe,coh-438-537li,0
fif-214-j80g6,coh-387-atf8w,0
fif-373-rc394,coh-180-az8ep,0
fif-480-sxzb7,coh-797-qavod,0
fif-398-xodqn,coh-925-1jy62,0
fif-302-e1q8f,coh-376-i8rnw,0
fif-500-0lg5d,coh-607-c3rjp,1
fif-907-l7owc,coh-497-mf602,0
fif-101-6xybt,coh-691-1b83j,0
fif-590-v4blr,coh-795-i4jqe,1
fif-582-xr7za,coh-916-fkaub,0
fif-224-il4m7,coh-917-x87i6,0
fif-950-htdut,coh-919-c6dgu,0
fif-561-a2grx,coh-254-ji8hz,1
fif-371-sb6ml,coh-919-c6dgu,0
fif-929-9day4,coh-419-o3p1n,0
fif-668-zxry6,coh-198-i1by5,0
fif-718-23ssk,coh-828-e3gsc,1
fif-403-bk48i,coh-103-fp6y4,0
fif-740-ppzc1,coh-539-gka6j,0
fif-264-z6oax,coh-215-f48c6,0
fif-772-g2uae,coh-759-u0n5r,0
fif-730-f6dvp,coh-519-t8pn4,0
fif-490-2v57x,coh-846-8gyfn,0
fif-353-jb38z,coh-917-r6aru,0
fif-939-kx453,coh-917-x87i6,0
fif-457-zrsti,coh-607-c3rjp,0
fif-924-3iri8,coh-448-ne6vq,0
fif-241-gre81,coh-917-r6aru,0
fif-643-75m1v,coh-839-tntks,0
fif-227-caswr,coh-916-fkaub,0
fif-605-df1vl,coh-698-262ax,0
fif-617-7o63f,coh-948-2vlaf,0
fif-764-vv2ui,coh-235-3zt77,1
fif-333-wgets,coh-387-atf8w,0
fif-926-48e4k,coh-925-1jy62,0
fif-226-d5dsk,coh-698-262ax,0
fif-927-pry0p,coh-314-cyvwz,0
fif-823-3vyen,coh-366-mtpxp,0
fif-388-oiw9j,coh-846-8gyfn,0
fif-650-6svm9,coh-591-pf9hs,0
fif-478-mqmuj,coh-897-my8lx,0
fif-956-3e025,coh-917-r6aru,0
fif-926-r08e3,coh-605-ikk09,0
fif-704-210ki,coh-376-i8rnw,0
fif-326-a1zps,coh-759-u0n5r,0
fif-618-g0yrn,coh-161-zu9vx,0
fif-249-xzrd6,coh-877-8o5ce,0
fif-502-qybp2,coh-619-ykooj,0
fif-392-0plh2,coh-540-3xat3,0
fif-807-6sd9o,coh-828-e3gsc,0
fif-473-qsa26,coh-919-c6dgu,0
fif-533-a2c6r,coh-967-dqgep,1
fif-663-87nlx,coh-383-4ykk6,1
fif-853-j1k5n,coh-122-0p25m,0
fif-746-9yx2g,coh-685-qguj8,1
fif-428-etoiq,coh-497-mf602,0
fif-732-5a3tb,coh-122-0p25m,1
fif-809-j7j4b,coh-925-1jy62,1
fif-588-oqqv7,coh-917-x87i6,1
fif-138-q5wse,coh-439-ct46a,0
fif-125-3sgkt,coh-442-767qd,0
fif-743-koioh,coh-775-etpku,0
fif-843-pr1y7,coh-235-3zt77,1
fif-166-mjqc9,coh-698-262ax,0
fif-728-siwuu,coh-716-jmq0c,1
fif-460-9fqxy,coh-163-cpov7,0
fif-503-8oosl,coh-775-etpku,1
fif-911-eet5c,coh-642-hkwgk,0
fif-560-mnp8x,coh-315-fwnku,0
fif-103-4943m,coh-315-fwnku,1
fif-102-80k57,coh-877-8o5ce,0
fif-969-qd57t,coh-540-3xat3,0
fif-378-wfjk7,coh-897-my8lx,0
fif-381-4abw3,coh-787-hkijp,0
fif-594-mhpet,coh-877-8o5ce,0
fif-432-v7drm,coh-698-262ax,0
fif-668-v1fhl,coh-439-ct46a,0
